genres,movie_title,movie_id,movie_imdb_link,imdb_score
Drama|Music,Qala,tt14428598,https://www.imdb.com/title/tt14428598/?ref_=fn_tt_tt_1,7.2
Crime|Drama|Mystery,Talvar,tt4934950,https://www.imdb.com/title/tt4934950/?ref_=fn_tt_tt_1,8.1
Action|Comedy|Crime,Kuttey,tt15281704,https://www.imdb.com/title/tt15281704/?ref_=fn_tt_tt_1,5.5
Comedy|Crime|Drama,Fukrey 3,tt26445483,https://www.imdb.com/title/tt26445483/?ref_=fn_tt_tt_1,5.5
Action|Crime|Drama,Dangerous,tt12856788,https://www.imdb.com/title/tt12856788/?ref_=fn_tt_tt_1,5.4
Action|Adventure|Comedy,Bang Bang,tt2905838,https://www.imdb.com/title/tt2905838/?ref_=fn_tt_tt_1,5.6
Crime|Drama|History,Hey Ram,tt0222012,https://www.imdb.com/title/tt0222012/?ref_=fn_tt_tt_1,7.9
Biography|Drama|History,83,tt7518786,https://www.imdb.com/title/tt7518786/?ref_=fn_tt_tt_1,7.5
Action|Comedy|Drama,Selfiee,tt15516726,https://www.imdb.com/title/tt15516726/?ref_=fn_tt_tt_1,5.7
Drama|Family|Musical,Veer-Zaara,tt0420332,https://www.imdb.com/title/tt0420332/?ref_=fn_tt_tt_1,7.8
Drama|Musical|Romance,Goliyon Ki Rasleela Ram-Leela,tt2215477,https://www.imdb.com/title/tt2215477/?ref_=fn_tt_tt_1,6.4
Action|Adventure,Thugs of Hindostan,tt5970844,https://www.imdb.com/title/tt5970844/?ref_=fn_tt_tt_1,4.1
Drama|History,Bheed,tt15680228,https://www.imdb.com/title/tt15680228/?ref_=fn_tt_tt_1,6.6
Drama|Romance,Kabhi Alvida Naa Kehna,tt0449999,https://www.imdb.com/title/tt0449999/?ref_=fn_tt_tt_1,6.1
Comedy|Crime|Drama,Badhaai Do,tt11934846,https://www.imdb.com/title/tt11934846/?ref_=fn_tt_tt_1,7
Horror|Thriller,Ghost Stories,tt10230404,https://www.imdb.com/title/tt10230404/?ref_=fn_tt_tt_1,4.4
Action|Horror|Thriller,Climax,tt12357758,https://www.imdb.com/title/tt12357758/?ref_=fn_tt_tt_1,2.1
Comedy|Horror,Stree,tt8108202,https://www.imdb.com/title/tt8108202/?ref_=fn_tt_tt_1,7.5
Comedy|Drama|Romance,Monsoon Wedding,tt0265343,https://www.imdb.com/title/tt0265343/?ref_=fn_tt_tt_1,7.3
Action|Comedy|Crime,Delhi Belly,tt1934231,https://www.imdb.com/title/tt1934231/?ref_=fn_tt_tt_1,7.5
Biography|Drama|History,Mission Raniganj,tt21262240,https://www.imdb.com/title/tt21262240/?ref_=fn_tt_tt_1,7.2
Action|Comedy|Drama,Main Hoon Na,tt0347473,https://www.imdb.com/title/tt0347473/?ref_=fn_tt_tt_1,7
Action|Drama|Romance,Gadar: Ek Prem Katha,tt0284137,https://www.imdb.com/title/tt0284137/?ref_=fn_tt_tt_1,7.3
Comedy|Drama,Bhagwan Bharose,tt15360286,https://www.imdb.com/title/tt15360286/?ref_=fn_tt_tt_1,6.4
Action|Crime|Drama,Omkara,tt0488414,https://www.imdb.com/title/tt0488414/?ref_=fn_tt_tt_1,8
Drama|Family|Sport,Chak De! India,tt0871510,https://www.imdb.com/title/tt0871510/?ref_=fn_tt_tt_1,8.1
Drama|Musical|Romance,Mohabbatein,tt0213890,https://www.imdb.com/title/tt0213890/?ref_=fn_tt_tt_1,7
Action|Adventure|Sci-Fi,Krrish 3,tt1029231,https://www.imdb.com/title/tt1029231/?ref_=fn_tt_tt_1,5.3
Action|Drama|Romance,Kabir Singh,tt8983202,https://www.imdb.com/title/tt8983202/?ref_=fn_tt_tt_1,7
Crime|Drama|Mystery,Raat Akeli Hai,tt12567088,https://www.imdb.com/title/tt12567088/?ref_=fn_tt_tt_1,7.2
Action|Comedy|Drama,Housefull 4,tt7721946,https://www.imdb.com/title/tt7721946/?ref_=fn_tt_tt_1,3.5
Action|Comedy|Crime,Happy New Year,tt2461132,https://www.imdb.com/title/tt2461132/?ref_=fn_tt_tt_1,5
Crime|Mystery|Thriller,Ittefaq,tt6692354,https://www.imdb.com/title/tt6692354/?ref_=fn_tt_tt_1,7.2
Action|Drama|Romance,Sultan,tt4832640,https://www.imdb.com/title/tt4832640/?ref_=fn_tt_tt_1,7
Comedy|Drama|Romance,Dil Dhadakne Do,tt4110568,https://www.imdb.com/title/tt4110568/?ref_=fn_tt_tt_1,7
Crime|Drama|Thriller,Dhokha: Round D Corner,tt10644708,https://www.imdb.com/title/tt10644708/?ref_=fn_tt_tt_1,6.2
Horror|Thriller,The Other Side of the Door,tt3702652,https://www.imdb.com/title/tt3702652/?ref_=fn_tt_tt_1,5.3
Action|Biography|Crime,Omerta,tt6978268,https://www.imdb.com/title/tt6978268/?ref_=fn_tt_tt_1,7.1
Crime|Drama|Thriller,Maqbool,tt0379370,https://www.imdb.com/title/tt0379370/?ref_=fn_tt_tt_1,8
Action|Crime|Drama,Satya,tt0195231,https://www.imdb.com/title/tt0195231/?ref_=fn_tt_tt_1,8.3
Comedy|Drama,Cirkus,tt11112808,https://www.imdb.com/title/tt11112808/?ref_=fn_tt_tt_1,4.4
Drama|Thriller,Merry Christmas,tt15392282,https://www.imdb.com/title/tt15392282/?ref_=fn_tt_tt_1,7
Action|Crime|Drama,Badlapur,tt3678782,https://www.imdb.com/title/tt3678782/?ref_=fn_tt_tt_1,7.4
Comedy|Drama|Family,Kaun Kitney Paani Mein,tt3477214,https://www.imdb.com/title/tt3477214/?ref_=fn_tt_tt_1,6.2
Adventure|Comedy|Drama,Karwaan,tt7919680,https://www.imdb.com/title/tt7919680/?ref_=fn_tt_tt_1,7.6
Comedy|Drama|Romance,Fukrey,tt2806788,https://www.imdb.com/title/tt2806788/?ref_=fn_tt_tt_1,6.9
Drama|Thriller,Mili,tt15257644,https://www.imdb.com/title/tt15257644/?ref_=fn_tt_tt_1,6.7
Crime|Drama|Mystery,Ugly,tt2882328,https://www.imdb.com/title/tt2882328/?ref_=fn_tt_tt_1,7.9
Comedy|Drama|Music,Rab Ne Bana Di Jodi,tt1182937,https://www.imdb.com/title/tt1182937/?ref_=fn_tt_tt_1,7.2
Action|Adventure|Thriller,Tiger Zinda Hai,tt5956100,https://www.imdb.com/title/tt5956100/?ref_=fn_tt_tt_1,5.9
Action|Crime|Drama,Once Upon a Time in Mumbaai,tt1395054,https://www.imdb.com/title/tt1395054/?ref_=fn_tt_tt_1,7.4
