genres,movie_title,movie_id,movie_imdb_link
Action|Crime|Drama,Gumrah,tt0107060,https://www.imdb.com/title/tt0107060/?ref_=fn_tt_tt_1
Drama|Musical|Romance,Ijaazat,tt0091256,https://www.imdb.com/title/tt0091256/?ref_=fn_tt_tt_1
Drama,Chimanee Pakhre,tt4896974,https://www.imdb.com/title/tt4896974/?ref_=fn_tt_tt_1
Drama|Romance,Ek Vivaah... Aisa Bhi,tt1194608,https://www.imdb.com/title/tt1194608/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Break Ke Baad,tt1578261,https://www.imdb.com/title/tt1578261/?ref_=fn_tt_tt_1
Drama|Music,Rock On 2,tt2137241,https://www.imdb.com/title/tt2137241/?ref_=fn_tt_tt_1
Musical|Romance,Indrasabha,tt0233938,https://www.imdb.com/title/tt0233938/?ref_=fn_tt_tt_1
Biography|Crime|Drama,Maharaj,tt4501268,https://www.imdb.com/title/tt4501268/?ref_=fn_tt_tt_1
War,21: Battle of Saragarhi,tt6424216,https://www.imdb.com/title/tt6424216/?ref_=fn_tt_tt_1
Drama|Family|Thriller,Bumm Bumm Bole,tt1629241,https://www.imdb.com/title/tt1629241/?ref_=fn_tt_tt_1
Crime|Drama|Thriller,Anjaam,tt0109134,https://www.imdb.com/title/tt0109134/?ref_=fn_tt_tt_1
Thriller,Hacked,tt11027850,https://www.imdb.com/title/tt11027850/?ref_=fn_tt_tt_1
Drama|Horror,Dybbuk: The Curse Is Real,tt15715122,https://www.imdb.com/title/tt15715122/?ref_=fn_tt_tt_1
Drama|Family|Musical,Haathi Mere Saathi,tt0272118,https://www.imdb.com/title/tt0272118/?ref_=fn_tt_tt_1
Musical|Romance,Mausam,tt0151511,https://www.imdb.com/title/tt0151511/?ref_=fn_tt_tt_1
Action|Comedy|Crime,Sardaar Gabbar Singh,tt4545630,https://www.imdb.com/title/tt4545630/?ref_=fn_tt_tt_1
Action|Crime|Drama,Vardi,tt0100857,https://www.imdb.com/title/tt0100857/?ref_=fn_tt_tt_1
Action|Thriller,Aag Ke Sholay,tt0270820,https://www.imdb.com/title/tt0270820/?ref_=fn_tt_tt_1
Drama|Family,Kacchey Limbu,tt21387380,https://www.imdb.com/title/tt21387380/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Yeh Hai Jalwa,tt0328671,https://www.imdb.com/title/tt0328671/?ref_=fn_tt_tt_1
Drama|Musical|Romance,Saawariya,tt0758053,https://www.imdb.com/title/tt0758053/?ref_=fn_tt_tt_1
Drama|History,Emergency,tt21279420,https://www.imdb.com/title/tt21279420/?ref_=fn_tt_tt_1
Comedy|Family|Fantasy,Makdee,tt0341455,https://www.imdb.com/title/tt0341455/?ref_=fn_tt_tt_1
Thriller,Black Rose,tt13149544,https://www.imdb.com/title/tt13149544/?ref_=fn_tt_tt_1
Action|Drama,Kaalia,tt0082594,https://www.imdb.com/title/tt0082594/?ref_=fn_tt_tt_1
Drama|Musical|Romance,Prem Rog,tt0084532,https://www.imdb.com/title/tt0084532/?ref_=fn_tt_tt_1
Action|Crime|Drama,Sarkar Raj,tt0490210,https://www.imdb.com/title/tt0490210/?ref_=fn_tt_tt_1
Drama|Horror|Mystery,Phoonk,tt1267500,https://www.imdb.com/title/tt1267500/?ref_=fn_tt_tt_1
Drama|Horror,Gehrayee,tt0259322,https://www.imdb.com/title/tt0259322/?ref_=fn_tt_tt_1
Action|Comedy|Drama,Yamla Pagla Deewana,tt1773109,https://www.imdb.com/title/tt1773109/?ref_=fn_tt_tt_1
Drama,Saajan Ka Ghar,tt0173156,https://www.imdb.com/title/tt0173156/?ref_=fn_tt_tt_1
Action|Adventure|Drama,Love Story 2050,tt0490170,https://www.imdb.com/title/tt0490170/?ref_=fn_tt_tt_1
Action|Adventure|Thriller,Commando 2,tt5954088,https://www.imdb.com/title/tt5954088/?ref_=fn_tt_tt_1
Drama,Mehsampur,tt5749012,https://www.imdb.com/title/tt5749012/?ref_=fn_tt_tt_1
Comedy|Drama|Family,Mere Brother Ki Dulhan,tt1740710,https://www.imdb.com/title/tt1740710/?ref_=fn_tt_tt_1
 ,12th Fail,tt23849204,https://www.imdb.com/title/tt23849204/?ref_=fn_tt_tt_1
Comedy|Drama|Musical,Jaan-E-Mann: Let's Fall in Love... Again,tt0456481,https://www.imdb.com/title/tt0456481/?ref_=fn_tt_tt_1
Drama|Romance,Umrao Jaan,tt0485522,https://www.imdb.com/title/tt0485522/?ref_=fn_tt_tt_1
Action|Crime|Drama,Dum Maaro Dum,tt1618430,https://www.imdb.com/title/tt1618430/?ref_=fn_tt_tt_1
Action|Crime|Thriller,Farz,tt0061650,https://www.imdb.com/title/tt0061650/?ref_=fn_tt_tt_1
Comedy|Drama,Sui Dhaaga: Made in India,tt7147540,https://www.imdb.com/title/tt7147540/?ref_=fn_tt_tt_1
Action|Thriller,Om - The Battle Within,tt9115574,https://www.imdb.com/title/tt9115574/?ref_=fn_tt_tt_1
Drama,Iftikhar,tt13892722,https://www.imdb.com/title/tt13892722/?ref_=fn_tt_tt_1
Action|Drama|Romance,Sohni Mahiwal,tt0152509,https://www.imdb.com/title/tt0152509/?ref_=fn_tt_tt_1
Comedy|Drama,Cash,tt15831978,https://www.imdb.com/title/tt15831978/?ref_=fn_tt_tt_1
Action|Adventure|Fantasy,Drona,tt1060249,https://www.imdb.com/title/tt1060249/?ref_=fn_tt_tt_1
Drama|Romance,Bewafaa,tt0363472,https://www.imdb.com/title/tt0363472/?ref_=fn_tt_tt_1
Drama|Family,Bazaar,tt0246456,https://www.imdb.com/title/tt0246456/?ref_=fn_tt_tt_1
Comedy|Crime|Drama,Why Cheat India,tt8108208,https://www.imdb.com/title/tt8108208/?ref_=fn_tt_tt_1
Drama|Family|Musical,Ek Phool Do Mali,tt0214665,https://www.imdb.com/title/tt0214665/?ref_=fn_tt_tt_1
Comedy|Drama|Romance,Salaam Namaste,tt0456165,https://www.imdb.com/title/tt0456165/?ref_=fn_tt_tt_1
Drama|Romance,B.A. Pass 3,tt14490618,https://www.imdb.com/title/tt14490618/?ref_=fn_tt_tt_1
Drama|Mystery|Thriller,Kasoor,tt0272688,https://www.imdb.com/title/tt0272688/?ref_=fn_tt_tt_1
Action|Crime|Thriller,Players,tt1784589,https://www.imdb.com/title/tt1784589/?ref_=fn_tt_tt_1
Drama|Horror,Purana Mandir,tt0253514,https://www.imdb.com/title/tt0253514/?ref_=fn_tt_tt_1
Crime|Drama|Thriller,Dushman,tt0189492,https://www.imdb.com/title/tt0189492/?ref_=fn_tt_tt_1
Comedy|Drama|Fantasy,Phillauri,tt5502766,https://www.imdb.com/title/tt5502766/?ref_=fn_tt_tt_1
Action|Drama|Thriller,Aurangzeb,tt2804026,https://www.imdb.com/title/tt2804026/?ref_=fn_tt_tt_1
Action|Crime|Drama,Right Yaaa Wrong,tt1191130,https://www.imdb.com/title/tt1191130/?ref_=fn_tt_tt_1
Drama|Thriller,Bhagwaan Dada,tt0186871,https://www.imdb.com/title/tt0186871/?ref_=fn_tt_tt_1
Thriller,Raktneeti,tt19856850,https://www.imdb.com/title/tt19856850/?ref_=fn_tt_tt_1
Action|Thriller,Vishwaroopam 2,tt2677064,https://www.imdb.com/title/tt2677064/?ref_=fn_tt_tt_1
Crime|Thriller,Love in a Taxi,tt7884788,https://www.imdb.com/title/tt7884788/?ref_=fn_tt_tt_1
Action|Crime|Thriller,Action Jackson,tt0403935,https://www.imdb.com/title/tt0403935/?ref_=fn_tt_tt_1
Comedy,Atithi Tum Kab Jaoge?,tt1578116,https://www.imdb.com/title/tt1578116/?ref_=fn_tt_tt_1
Drama|Romance,Purab Aur Pachhim,tt0234542,https://www.imdb.com/title/tt0234542/?ref_=fn_tt_tt_1
Drama|Romance,Sparsh,tt0079938,https://www.imdb.com/title/tt0079938/?ref_=fn_tt_tt_1
Drama|Romance,Kya Kehna,tt0250483,https://www.imdb.com/title/tt0250483/?ref_=fn_tt_tt_1
Comedy,Navra Mazha Navsacha,tt0833510,https://www.imdb.com/title/tt0833510/?ref_=fn_tt_tt_1
Comedy|Drama,Welcome to New York,tt7275232,https://www.imdb.com/title/tt7275232/?ref_=fn_tt_tt_1
Drama,Chann Pardesee,tt0310865,https://www.imdb.com/title/tt0310865/?ref_=fn_tt_tt_1
